,Household,Homestead,Cropland,Aquaculture land,Other
936,1_643_1177,60.0,13.0,0,0
937,1_643_1184,5.0,100.0,0,0
939,1_643_1191,18.0,150.0,0,0
940,1_643_1198,2.0,45.0,0,0
944,1_643_1225,18.0,120.0,0,0
946,1_643_1239,0,48.0,0,0
947,1_643_1246,51.0,48.0,0,0
949,1_643_1259,32.0,400.0,0,4.0
951,1_643_1266,6.0,48.0,0,0
952,1_643_1273,0,200.0,0,0
953,1_643_1280,10.0,144.0,0,9.0
956,1_643_1301,48.0,320.0,0,7.0
957,1_643_1307,5.0,100.0,0,0
969,1_643_146,0,180.0,0,0
972,1_643_160,8.0,450.0,0,0
973,1_643_167,15.0,120.0,0,0
974,1_643_174,3.0,135.0,0,0
977,1_643_196,53.0,240.0,0,0
978,1_643_2,7.0,36.0,0,0
982,1_643_222,22.0,300.0,0,0
983,1_643_229,6.0,192.0,0,0
985,1_643_236,26.0,100.0,0,0
989,1_643_263,100.0,96.0,0,0
992,1_643_284,3.0,4.0,0,0
993,1_643_291,5.0,202.0,0,0
994,1_643_298,62.0,66.0,0,0
996,1_643_304,12.0,72.0,0,0
997,1_643_311,31.0,144.0,0,0
1000,1_643_332,90.0,347.0,0,87.0
1002,1_643_346,3.5,165.0,0,0
1004,1_643_360,17.0,81.0,0,0
1005,1_643_366,11.0,140.0,0,0
1008,1_643_380,0,112.0,0,0
1011,1_643_401,5.0,16.0,0,0
1012,1_643_406,8.0,83.0,0,0
1014,1_643_421,3.0,45.0,0,0
1015,1_643_428,16.0,200.0,0,0
1017,1_643_435,19.0,1700.0,0,0
1018,1_643_442,6.0,150.0,0,0
1021,1_643_462,4.0,21.0,0,0
1024,1_643_483,30.0,174.0,0,0
1025,1_643_490,0,20.0,0,0
1027,1_643_50,33.0,205.0,0,0
1033,1_643_538,14.0,100.0,0,0
1034,1_643_545,7.0,2.0,0,0
1036,1_643_559,48.0,178.0,0,0
1037,1_643_565,33.0,75.0,0,0
1041,1_643_586,48.0,210.0,0,0
1042,1_643_593,106.0,540.0,0,0
1043,1_643_600,5.0,120.0,0,0
1045,1_643_614,24.0,161.0,0,0
1047,1_643_627,5.0,74.0,0,0
1048,1_643_634,31.0,71.0,0,0
1053,1_643_662,5.0,200.0,0,0
1054,1_643_669,60.0,40.0,0,0
1056,1_643_682,10.0,400.0,0,0
1059,1_643_703,0,135.0,0,0
1061,1_643_710,6.35,65.0,0,0
1062,1_643_718,14.0,144.0,0,0
1063,1_643_725,145.0,135.0,0,0
1064,1_643_730,6.0,59.0,0,0
1066,1_643_745,4.0,30.0,0,0
1067,1_643_751,0,44.0,0,0
1068,1_643_758,15.0,22.0,0,0
1069,1_643_765,5.0,33.0,0,0
1076,1_643_806,4.0,22.0,0,0
1077,1_643_813,10.0,28.0,0,0
1078,1_643_820,30.0,260.0,0,0
1079,1_643_828,129.0,960.0,0,0
1082,1_643_847,8.0,66.0,0,0
1083,1_643_85,5.0,150.0,0,0
1085,1_643_861,34.5,900.0,0,0
1087,1_643_875,3.0,31.0,0,0
1088,1_643_882,9.0,718.0,0,0
1089,1_643_889,26.0,1000.0,0,0
1090,1_643_895,2.0,165.0,0,0
1091,1_643_9,200.0,100.0,0,0
1092,1_643_902,3.0,93.0,0,0
1098,1_643_937,20.0,200.0,0,0
1099,1_643_943,8.0,128.0,0,0
1100,1_643_950,30.0,90.0,0,0
1105,1_643_980,12.0,275.0,0,0
1108,1_643_998,13.0,196.0,0,0
1109,1_799_100,24.0,144.0,0,0
1111,1_799_105,2.0,20.0,0,0
1112,1_799_108,8.0,144.0,0,0
1113,1_799_111,21.0,43.0,0,0
1114,1_799_113,21.0,43.0,0,0
1115,1_799_116,4.0,96.0,0,0
1116,1_799_118,6.0,138.0,0,0
1117,1_799_12,16.0,120.0,0,0
1118,1_799_121,20.0,206.0,0,0
1119,1_799_124,7.0,68.0,0,0
1120,1_799_126,6.0,96.0,48.0,0
1121,1_799_129,18.0,50.0,0,0
1122,1_799_131,21.0,96.0,0,0
1124,1_799_137,9.0,135.5,0,0
1126,1_799_142,8.0,96.0,0,0
1127,1_799_144,30.0,100.0,0,0
1128,1_799_147,3.0,24.0,0,0
1129,1_799_15,10.0,100.0,0,0
1130,1_799_150,3.0,66.0,0,0
1131,1_799_152,6.0,96.0,0,0
1132,1_799_155,10.0,6.0,0,0
1133,1_799_157,7.0,96.0,0,0
1134,1_799_160,4.0,72.0,0,0
1137,1_799_165,10.0,168.0,0,0
1140,1_799_172,13.0,60.0,0,0
1141,1_799_174,5.0,40.0,0,0
1143,1_799_179,8.0,24.0,0,0
1144,1_799_181,0,96.0,0,0
1146,1_799_187,5.0,50.0,0,0
1147,1_799_189,5.0,66.0,0,0
1148,1_799_191,10.0,240.0,0,0
1149,1_799_194,24.0,84.0,0,0
1150,1_799_196,6.0,80.0,0,0
1151,1_799_199,30.0,121.0,0,0
1152,1_799_2,20.0,288.0,0,0
1153,1_799_20,15.0,38.0,0,0
1155,1_799_204,2.0,78.0,0,0
1156,1_799_207,4.0,60.0,0,0
1157,1_799_209,2.0,45.0,0,0
1158,1_799_212,4.0,144.0,0,10.0
1159,1_799_214,2.5,97.5,0,0
1160,1_799_218,14.0,192.0,0,0
1162,1_799_220,10.0,95.0,0,0
